날짜,시가*,고가,저가,종가**,거래량,시가총액
30-Oct-20,?56.72,?59.73,?50.09,?52.32,"?542,347,709","?9,640,765,463"
29-Oct-20,?64.02,?68.11,?55.11,?56.71,"?1,074,220,956","?10,450,659,204"
28-Oct-20,?67.79,?67.79,?61.91,?64.02,"?670,453,781","?11,797,440,965"
27-Oct-20,?72.65,?73.10,?65.45,?67.78,"?3,322,890,901","?12,490,921,503"
26-Oct-20,?72.10,?73.45,?64.47,?72.65,"?1,268,796,529","?13,387,004,320"
25-Oct-20,?73.34,?73.95,?70.61,?72.10,"?572,216,004","?13,286,842,731"
24-Oct-20,?79.65,?80.45,?73.25,?73.34,"?821,337,210","?13,514,507,462"
23-Oct-20,?77.50,?81.86,?75.99,?79.65,"?1,662,761,183","?14,677,375,115"
22-Oct-20,?75.59,?77.67,?74.64,?77.56,"?585,020,910","?14,291,624,257"
21-Oct-20,?76.37,?78.75,?74.91,?75.52,"?753,617,010","?13,915,911,522"
20-Oct-20,?71.11,?79.75,?69.10,?76.45,"?5,181,780,741","?14,088,531,204"
19-Oct-20,?74.15,?75.70,?71.04,?71.11,"?548,235,721","?13,103,813,361"
18-Oct-20,?75.85,?76.48,?72.28,?74.15,"?571,536,287","?13,663,237,226"
17-Oct-20,?78.00,?78.74,?74.44,?75.79,"?473,834,407","?13,966,995,090"
16-Oct-20,?76.09,?80.71,?73.51,?78.00,"?3,017,543,675","?14,374,160,451"
15-Oct-20,?74.12,?76.79,?71.71,?76.06,"?1,288,612,686","?14,015,427,273"
14-Oct-20,?66.85,?81.49,?65.67,?74.11,"?2,640,751,968","?13,655,934,926"
13-Oct-20,?67.92,?68.55,?65.95,?66.71,"?621,157,336","?12,292,351,177"
12-Oct-20,?68.89,?70.41,?66.83,?68.01,"?949,925,489","?12,532,839,552"
11-Oct-20,?67.81,?69.37,?67.12,?68.85,"?885,326,467","?12,686,553,908"
10-Oct-20,?67.93,?70.05,?67.34,?67.81,"?793,822,772","?12,496,532,947"
09-Oct-20,?67.33,?69.07,?67.03,?67.93,"?558,353,597","?12,518,355,491"
08-Oct-20,?66.39,?69.42,?65.62,?67.63,"?735,501,564","?12,462,965,151"
07-Oct-20,?64.78,?69.82,?64.47,?66.35,"?1,205,953,358","?12,227,274,991"
06-Oct-20,?79.89,?80.10,?64.31,?64.78,"?1,588,118,623","?11,937,000,031"
05-Oct-20,?81.62,?83.27,?79.14,?80.12,"?1,259,605,444","?14,764,603,285"
04-Oct-20,?82.51,?83.10,?80.82,?81.62,"?329,717,675","?15,039,624,587"
03-Oct-20,?84.18,?85.66,?81.66,?82.53,"?402,616,008","?15,207,962,134"
02-Oct-20,?85.30,?88.78,?79.67,?84.53,"?1,467,099,400","?15,576,439,770"
01-Oct-20,?88.39,?89.30,?82.29,?85.24,"?1,518,972,171","?15,707,707,811"
30-Sep-20,?91.30,?91.31,?86.74,?88.39,"?1,629,097,700","?16,288,527,266"
29-Sep-20,?92.60,?95.90,?88.44,?91.89,"?2,052,415,800","?16,933,389,772"
28-Sep-20,?96.27,?97.16,?92.60,?92.60,"?1,989,815,584","?17,063,228,056"
27-Sep-20,?96.79,?98.67,?93.32,?96.36,"?1,581,445,173","?17,756,846,123"
26-Sep-20,?96.27,?100.52,?96.27,?97.81,"?923,770,976","?18,023,852,185"
25-Sep-20,?94.78,?99.32,?94.23,?96.37,"?1,546,563,772","?17,758,239,986"
24-Sep-20,?92.36,?97.63,?89.72,?94.94,"?2,216,957,380","?17,494,729,645"
23-Sep-20,?94.53,?99.24,?91.26,?91.35,"?2,289,579,320","?16,833,207,239"
22-Sep-20,?87.45,?98.90,?87.45,?94.53,"?3,605,527,941","?17,419,583,404"
