날짜,시가*,고가,저가,종가**,거래량,시가총액
29-Dec-20,?16.37,?16.37,?14.60,?15.51,"?985,748,489","?576,692,361"
28-Dec-20,?14.79,?16.37,?14.69,?16.37,"?3,262,833,962","?608,794,627"
27-Dec-20,?14.39,?16.72,?14.18,?14.79,"?7,501,803,809","?549,991,047"
26-Dec-20,?14.29,?14.79,?13.78,?14.49,"?574,183,855","?538,750,197"
25-Dec-20,?14.58,?14.68,?13.37,?14.19,"?679,969,762","?527,510,983"
24-Dec-20,?13.61,?14.48,?12.54,?14.48,"?735,423,495","?538,389,500"
23-Dec-20,?16.19,?17.98,?13.10,?13.61,"?3,143,718,364","?506,269,113"
22-Dec-20,?16.17,?16.54,?15.31,?16.19,"?631,219,479","?602,192,219"
21-Dec-20,?16.73,?19.95,?15.24,?16.17,"?7,283,888,247","?601,310,935"
20-Dec-20,?17.64,?17.64,?16.22,?16.73,"?1,537,349,117","?622,076,227"
19-Dec-20,?16.93,?21.18,?16.63,?17.54,"?9,299,991,015","?652,202,672"
18-Dec-20,?15.80,?17.85,?15.47,?17.03,"?6,082,808,965","?633,368,105"
17-Dec-20,?16.10,?16.12,?15.48,?15.70,"?831,705,214","?583,902,457"
16-Dec-20,?16.07,?16.23,?15.41,?16.10,"?783,307,048","?598,762,512"
15-Dec-20,?16.52,?16.53,?15.42,?16.07,"?665,720,957","?597,538,852"
14-Dec-20,?16.44,?16.83,?15.93,?16.52,"?1,672,151,584","?614,267,231"
13-Dec-20,?15.82,?16.54,?15.31,?16.23,"?802,550,962","?603,645,551"
12-Dec-20,?14.91,?16.54,?14.70,?15.82,"?1,309,621,801","?588,422,346"
11-Dec-20,?16.09,?16.09,?14.70,?14.91,"?496,588,783","?554,323,217"
10-Dec-20,?16.40,?16.40,?15.15,?15.78,"?626,058,684","?586,837,061"
09-Dec-20,?16.83,?16.83,?14.89,?16.30,"?1,582,784,213","?606,087,546"
08-Dec-20,?17.37,?18.29,?15.91,?16.73,"?2,578,047,037","?622,132,508"
07-Dec-20,?17.79,?17.88,?16.60,?17.67,"?3,227,041,414","?657,242,087"
06-Dec-20,?17.17,?19.02,?16.15,?17.79,"?9,025,673,943","?661,566,311"
05-Dec-20,?15.53,?21.79,?14.73,?17.17,"?20,636,781,950","?638,657,159"
04-Dec-20,?18.06,?18.06,?15.12,?15.53,"?3,618,612,447","?577,406,063"
03-Dec-20,?17.71,?21.01,?15.80,?18.06,"?22,254,408,469","?671,791,921"
02-Dec-20,?12.33,?38.88,?12.33,?17.61,"?129,689,019,972","?655,021,317"
01-Dec-20,?12.26,?13.34,?12.12,?12.61,"?1,190,634,866","?469,097,675"
30-Nov-20,?12.52,?12.56,?12.01,?12.26,"?361,451,043","?456,019,085"
29-Nov-20,?12.39,?12.78,?12.09,?12.52,"?311,587,114","?465,566,306"
28-Nov-20,?12.18,?12.47,?12.03,?12.39,"?192,908,201","?460,641,162"
27-Nov-20,?12.09,?12.60,?11.75,?12.18,"?267,726,505","?452,949,164"
26-Nov-20,?12.91,?13.69,?11.50,?12.00,"?645,396,927","?446,167,001"
25-Nov-20,?12.34,?13.28,?12.09,?12.90,"?567,434,706","?479,747,416"
24-Nov-20,?12.01,?12.65,?11.83,?12.44,"?587,812,265","?462,534,815"
23-Nov-20,?12.19,?12.87,?11.91,?12.38,"?582,452,320","?460,495,104"
22-Nov-20,?11.76,?12.50,?11.66,?12.19,"?687,547,172","?453,133,056"
21-Nov-20,?11.73,?11.83,?11.54,?11.76,"?164,913,027","?437,346,068"
20-Nov-20,?11.59,?11.79,?11.51,?11.73,"?111,091,902","?436,391,360"
19-Nov-20,?11.79,?11.79,?11.36,?11.59,"?111,194,732","?430,971,227"
18-Nov-20,?11.91,?11.99,?11.51,?11.79,"?125,626,399","?438,558,718"
17-Nov-20,?11.97,?12.05,?11.60,?11.91,"?204,702,650","?443,018,911"
16-Nov-20,?12.37,?12.42,?11.84,?11.97,"?197,479,018","?444,953,557"
15-Nov-20,?12.26,?12.49,?12.05,?12.37,"?218,796,199","?460,194,224"
14-Nov-20,?12.77,?13.07,?12.08,?12.26,"?383,221,552","?455,958,535"
13-Nov-20,?12.39,?14.20,?12.10,?12.77,"?2,609,805,363","?474,881,375"
12-Nov-20,?11.92,?14.77,?11.83,?12.39,"?2,820,796,999","?460,849,256"
11-Nov-20,?11.95,?12.75,?11.65,?11.92,"?286,711,754","?443,392,625"
10-Nov-20,?11.86,?12.12,?11.75,?11.95,"?129,254,561","?444,404,151"
09-Nov-20,?11.82,?11.96,?11.36,?11.86,"?132,796,800","?441,083,050"
08-Nov-20,?10.84,?11.97,?10.72,?11.82,"?241,201,290","?439,435,063"
07-Nov-20,?11.14,?11.42,?10.57,?10.84,"?127,020,585","?403,167,347"
06-Nov-20,?10.45,?11.36,?10.32,?11.14,"?149,807,342","?414,342,236"
05-Nov-20,?9.80,?10.45,?9.80,?10.45,"?135,892,890","?388,729,584"
04-Nov-20,?9.94,?10.12,?9.53,?9.80,"?136,332,795","?364,386,954"
03-Nov-20,?10.60,?10.71,?9.38,?9.94,"?415,677,521","?369,675,609"
02-Nov-20,?11.37,?11.37,?10.53,?10.60,"?269,279,384","?394,264,754"
01-Nov-20,?11.63,?11.66,?11.13,?11.37,"?164,401,513","?422,741,508"
31-Oct-20,?11.66,?11.76,?11.41,?11.63,"?178,105,525","?432,335,259"
30-Oct-20,?11.83,?12.37,?11.32,?11.66,"?925,032,719","?433,632,496"
29-Oct-20,?12.15,?12.17,?11.70,?11.83,"?185,609,333","?439,869,618"
28-Oct-20,?12.03,?12.26,?11.82,?12.15,"?311,494,811","?451,976,044"
27-Oct-20,?12.31,?12.40,?11.90,?12.03,"?289,856,199","?447,370,319"
26-Oct-20,?12.44,?12.55,?12.11,?12.31,"?249,483,678","?457,695,418"
25-Oct-20,?12.74,?12.74,?12.44,?12.44,"?125,220,414","?462,799,160"
24-Oct-20,?12.64,?12.84,?12.54,?12.74,"?130,187,639","?473,798,583"
23-Oct-20,?12.76,?12.91,?12.37,?12.64,"?492,724,027","?470,172,774"
22-Oct-20,?12.53,?13.67,?12.36,?12.67,"?2,235,323,577","?470,996,809"
21-Oct-20,?12.61,?12.79,?12.27,?12.78,"?76,669,020","?475,422,644"
20-Oct-20,?12.81,?12.91,?12.34,?12.53,"?63,842,510","?466,069,122"
19-Oct-20,?12.97,?13.20,?12.73,?12.81,"?52,655,623","?476,459,939"
18-Oct-20,?13.10,?13.26,?12.82,?12.97,"?47,828,698","?482,164,128"
17-Oct-20,?12.78,?13.16,?12.69,?12.82,"?44,430,459","?476,614,408"
16-Oct-20,?12.85,?12.95,?12.36,?12.78,"?57,504,187","?475,186,428"
15-Oct-20,?13.01,?13.03,?12.45,?12.94,"?125,199,188","?481,237,162"
14-Oct-20,?13.29,?13.32,?12.87,?13.01,"?176,492,557","?483,743,435"
13-Oct-20,?13.92,?14.16,?13.12,?13.29,"?632,793,225","?494,190,391"
12-Oct-20,?13.52,?14.93,?13.42,?13.83,"?1,633,708,886","?514,306,546"
11-Oct-20,?13.79,?13.79,?13.29,?13.52,"?280,329,835","?502,712,259"
10-Oct-20,?14.31,?14.31,?13.55,?13.79,"?422,720,709","?512,799,025"
09-Oct-20,?13.64,?15.26,?13.28,?14.31,"?1,417,784,530","?532,308,769"
08-Oct-20,?12.35,?15.12,?12.32,?13.55,"?2,194,155,647","?503,998,721"
07-Oct-20,?12.18,?12.39,?12.12,?12.35,"?45,123,285","?459,143,489"
06-Oct-20,?12.50,?12.64,?12.00,?12.18,"?171,650,019","?453,101,075"
05-Oct-20,?12.32,?12.53,?12.05,?12.44,"?288,360,332","?462,517,102"
04-Oct-20,?12.38,?12.48,?12.10,?12.32,"?242,503,070","?458,027,031"
03-Oct-20,?12.27,?12.42,?12.23,?12.37,"?71,420,964","?459,826,968"
02-Oct-20,?12.53,?12.53,?12.03,?12.27,"?71,211,439","?456,208,312"
01-Oct-20,?12.62,?12.95,?12.27,?12.53,"?131,913,817","?465,860,831"
30-Sep-20,?12.75,?12.94,?12.46,?12.62,"?59,624,366","?469,224,657"
29-Sep-20,?12.67,?13.01,?12.30,?12.62,"?388,113,832","?469,346,386"
28-Sep-20,?12.90,?12.93,?12.40,?12.67,"?210,876,438","?471,039,695"
27-Sep-20,?12.74,?13.29,?12.60,?12.88,"?189,385,510","?479,073,400"
26-Sep-20,?12.43,?13.09,?12.42,?12.74,"?245,135,549","?473,688,811"
25-Sep-20,?12.53,?12.60,?12.16,?12.46,"?111,652,533","?463,324,358"
24-Sep-20,?11.85,?12.54,?11.66,?12.53,"?179,861,266","?465,905,937"
23-Sep-20,?12.36,?12.38,?11.83,?11.84,"?89,711,077","?440,486,631"
22-Sep-20,?12.44,?12.47,?11.98,?12.35,"?192,559,536","?459,174,428"
21-Sep-20,?13.00,?13.23,?12.10,?12.49,"?405,450,467","?464,490,575"
20-Sep-20,?13.23,?13.43,?12.92,?12.95,"?348,747,125","?481,528,732"
